LAMMPS data file via write_data, version 7 Aug 2019, timestep = 0

3912 atoms
11 atom types
384 bonds
2 bond types

-1.0316426000000000e-02 6.2149683573999994e+01 xlo xhi
-5.9398249700000005e-01 3.5326017503000003e+01 ylo yhi
-1.3241855739999999e+00 1.7875814425999998e+01 zlo zhi

Masses

1 26.9815
2 24.305
3 28.0855
4 15.9994
5 15.9994
6 15.9994
7 15.9994
8 1.00797
9 15.9994
10 26.9815
11 22.99

Pair Coeffs # lj/cut/coul/long

1 1.3297e-06 4.27132
2 9.03e-07 5.26433
3 1.8402e-06 3.30196
4 0.155416 3.16552
5 0.155416 3.16552
6 0.155416 3.16552
7 0.155416 3.16552
8 0 0
9 0.155416 3.16552
10 1.8402e-06 3.30196
11 0.1301 2.35001

Bond Coeffs # harmonic

1 554.135 1
2 554.135 1

Atoms # full

2454 16 3 2.0999935483869998e+00 3.0458400000000002e-01 1.6424420000000001e+01 1.0244999999999999e+01 0 0 0
2455 16 3 2.0999935483869998e+00 3.0458400000000002e-01 1.0515580000000000e+01 1.0244999999999999e+01 0 0 0
2458 16 4 -1.0500000000000000e+00 2.6594120000000001e+00 1.3470000000000001e+01 9.7484999999999999e+00 0 0 0
2461 16 5 -9.4999999999999996e-01 2.5661719999999999e+00 8.9800000000000004e+00 1.1879999999999999e+01 0 0 0
2462 16 6 -1.1808000000000001e+00 2.9432760000000000e+00 1.5185180000000001e+01 1.1830500000000001e+01 0 0 0
2463 16 4 -1.0500000000000000e+00 2.9639959999999999e+00 1.1754820000000000e+01 1.1830500000000001e+01 0 0 0
2470 16 4 -1.0500000000000000e+00 6.9412000000000001e-02 8.9800000000000004e+00 9.7484999999999999e+00 0 0 0
2471 16 4 -1.0500000000000000e+00 1.6990400000000001e+00 1.1027440000000000e+01 9.5999999999999996e+00 0 0 0
2472 16 4 -1.0500000000000000e+00 1.6990400000000001e+00 1.5912559999999999e+01 9.5999999999999996e+00 0 0 0
2474 16 4 -1.0500000000000000e+00 3.5327599999999998e-01 1.0695180000000001e+01 1.1830500000000001e+01 0 0 0
